"nome_fantasia";"razao_social";"municipio";"id_cnes";"tipo"
POLICLINICA COMUNITARIA DA ENGENHOCA;FUNDACAO MUNICIPAL DE SAUDE DE NITEROI;NITEROI;12637;POLICLINICA
POLICLINICA COMUNITARIA DE ITAIPU;FUNDACAO MUNICIPAL DE SAUDE DE NITEROI;NITEROI;12726;POLICLINICA
UBS ENGENHOCA;FUNDACAO MUNICIPAL DE SAUDE DE NITEROI;NITEROI;12785;CENTRO DE SAUDE/UNIDADE BASICA
UBS SANTA BARBARA;FUNDACAO MUNICIPAL DE SAUDE DE NITEROI;NITEROI;12807;CENTRO DE SAUDE/UNIDADE BASICA
MMF PROFESSOR DR BARROS TERRA;FUNDACAO ESTATAL DE SAUDE DE NITEROI FESAUDE;NITEROI;12831;CENTRO DE SAUDE/UNIDADE BASICA
MMF WILLIAN SOLLER;FUNDACAO ESTATAL DE SAUDE DE NITEROI FESAUDE;NITEROI;13013;CENTRO DE SAUDE/UNIDADE BASICA
MMF JORGE LUIZ CAMACHO RODRIGUES;FUNDACAO ESTATAL DE SAUDE DE NITEROI FESAUDE;NITEROI;13021;CENTRO DE SAUDE/UNIDADE BASICA
UNIDADE BASICA DE SAUDE DO CENTRO;FUNDACAO MUNICIPAL DE SAUDE DE NITEROI;NITEROI;13048;CENTRO DE SAUDE/UNIDADE BASICA
UBSF VILA MURY FERNANDO MARIO NETTO;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24554;CENTRO DE SAUDE/UNIDADE BASICA
UBSF AGUA LIMPA JOSE RIBEIRO DE SOUZA JUNIOR;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24589;CENTRO DE SAUDE/UNIDADE BASICA
CDI CENTRO DE DOENCAS INFECCIOSAS DR LUIZ GONZAGA DE SOUZA;SECRETARIA MUNICIPAL DE SAUDE PMVR;VOLTA REDONDA;24600;POLICLINICA
